,Anest,Bnest,ABnest,Cmono,Other,Non-monophyletic,Poor-resolution,Anest_total,Bnest_total,ABnest_total,Cmono_total,Other_total,Non-monophyletic_total,Poor-resolution_total,Anest_core,Bnest_core,ABnest_core,Cmono_core,Other_core,Non-monophyletic_core,Poor-resolution_core,Anest_a,Bnest_a,ABnest_a,Cmono_a,Other_a,Non-monophyletic_a,Poor-resolution_a,Anest_b,Bnest_b,ABnest_b,Cmono_b,Other_b,Non-monophyletic_b,Poor-resolution_b,total,core,a,b,name,disp,ne,time,int,history
coresim_m0_n50000_e200000_i50000_CAB,0,0,14,0,0,0,6,0,0,3.316676463,0,0,0,1.418824171,0,0,1.541561285,0,0,0,0.661564078,0,0,1.536106871,0,0,0,0.658501706,0,0,1.373928613,0,0,0,0.592652335,4.735500633,2.203125363,2.194608577,1.966580948,coresim_m0_n50000_e200000_i50000_CAB,0,50000,200000,50000,CAB
coresim_m0_n50000_e200000_i50000_ACB,0,20,0,0,0,0,0,0,4.870960401,0,0,0,0,0,0,2.153231664,0,0,0,0,0,0,2.464211993,0,0,0,0,0,0,2.018329233,0,0,0,0,0,4.870960401,2.153231664,2.464211993,2.018329233,coresim_m0_n50000_e200000_i50000_ACB,0,50000,200000,50000,ACB
coresim_m0_n50000_e200000_i50000_ABC,0,0,0,20,0,0,0,0,0,0,5.001250366,0,0,0,0,0,0,1.975314549,0,0,0,0,0,0,2.532183326,0,0,0,0,0,0,2.314857844,0,0,0,5.001250366,1.975314549,2.532183326,2.314857844,coresim_m0_n50000_e200000_i50000_ABC,0,50000,200000,50000,ABC
coresim_m0_n50000_e200000_i100000_CAB,0,0,15,0,0,0,5,0,0,3.956521307,0,0,0,1.315235953,0,0,1.729268462,0,0,0,0.575637615,0,0,1.703136457,0,0,0,0.568821393,0,0,1.367760362,0,0,0,0.45899411,5.271757259,2.304906077,2.271957851,1.826754472,coresim_m0_n50000_e200000_i100000_CAB,0,50000,200000,100000,CAB
coresim_m0_n50000_e200000_i100000_ACB,0,20,0,0,0,0,0,0,5.500007271,0,0,0,0,0,0,2.154615723,0,0,0,0,0,0,2.84239894,0,0,0,0,0,0,1.910416759,0,0,0,0,0,5.500007271,2.154615723,2.84239894,1.910416759,coresim_m0_n50000_e200000_i100000_ACB,0,50000,200000,100000,ACB
coresim_m0_n50000_e200000_i100000_ABC,0,0,0,20,0,0,0,0,0,0,5.731814984,0,0,0,0,0,0,1.806684662,0,0,0,0,0,0,2.974216547,0,0,0,0,0,0,2.463442412,0,0,0,5.731814984,1.806684662,2.974216547,2.463442412,coresim_m0_n50000_e200000_i100000_ABC,0,50000,200000,100000,ABC
coresim_m0_n50000_e200000_i200000_CAB,0,0,20,0,0,0,0,0,0,5.846212732,0,0,0,0,0,0,2.391623382,0,0,0,0,0,0,2.31305294,0,0,0,0,0,0,1.625653132,0,0,0,0,5.846212732,2.391623382,2.31305294,1.625653132,coresim_m0_n50000_e200000_i200000_CAB,0,50000,200000,200000,CAB
coresim_m0_n50000_e200000_i200000_ACB,0,20,0,0,0,0,0,0,6.224158623,0,0,0,0,0,0,2.095349841,0,0,0,0,0,0,3.307006794,0,0,0,0,0,0,1.740827829,0,0,0,0,0,6.224158623,2.095349841,3.307006794,1.740827829,coresim_m0_n50000_e200000_i200000_ACB,0,50000,200000,200000,ACB
coresim_m0_n50000_e200000_i200000_ABC,0,0,0,20,0,0,0,0,0,0,6.666408107,0,0,0,0,0,0,1.549332086,0,0,0,0,0,0,3.570620759,0,0,0,0,0,0,2.615068019,0,0,0,6.666408107,1.549332086,3.570620759,2.615068019,coresim_m0_n50000_e200000_i200000_ABC,0,50000,200000,200000,ABC
coresim_m0_n50000_e400000_i50000_CAB,0,0,13,0,0,0,7,0,0,3.344563438,0,0,0,1.800446071,0,0,1.602570171,0,0,0,0.863608334,0,0,1.605736946,0,0,0,0.863727383,0,0,1.497736976,0,0,0,0.805248691,5.14500951,2.466178505,2.469464329,2.302985668,coresim_m0_n50000_e400000_i50000_CAB,0,50000,400000,50000,CAB
coresim_m0_n50000_e400000_i50000_ACB,0,20,0,0,0,0,0,0,5.236810645,0,0,0,0,0,0,2.423866769,0,0,0,0,0,0,2.69334691,0,0,0,0,0,0,2.342330364,0,0,0,0,0,5.236810645,2.423866769,2.69334691,2.342330364,coresim_m0_n50000_e400000_i50000_ACB,0,50000,400000,50000,ACB
coresim_m0_n50000_e400000_i50000_ABC,0,0,0,20,0,0,0,0,0,0,5.320372334,0,0,0,0,0,0,2.298456708,0,0,0,0,0,0,2.741262492,0,0,0,0,0,0,2.533138753,0,0,0,5.320372334,2.298456708,2.741262492,2.533138753,coresim_m0_n50000_e400000_i50000_ABC,0,50000,400000,50000,ABC
coresim_m0_n50000_e400000_i100000_CAB,0,0,18,0,0,0,2,0,0,4.980607821,0,0,0,0.553660133,0,0,2.26968552,0,0,0,0.252538095,0,0,2.249293642,0,0,0,0.251458768,0,0,1.931159778,0,0,0,0.217890827,5.534267954,2.522223615,2.500752411,2.149050605,coresim_m0_n50000_e400000_i100000_CAB,0,50000,400000,100000,CAB
coresim_m0_n50000_e400000_i100000_ACB,0,20,0,0,0,0,0,0,5.702348022,0,0,0,0,0,0,2.396707764,0,0,0,0,0,0,2.974181668,0,0,0,0,0,0,2.218445801,0,0,0,0,0,5.702348022,2.396707764,2.974181668,2.218445801,coresim_m0_n50000_e400000_i100000_ACB,0,50000,400000,100000,ACB
coresim_m0_n50000_e400000_i100000_ABC,0,0,0,20,0,0,0,0,0,0,5.870988349,0,0,0,0,0,0,2.126168464,0,0,0,0,0,0,3.069133326,0,0,0,0,0,0,2.64190348,0,0,0,5.870988349,2.126168464,3.069133326,2.64190348,coresim_m0_n50000_e400000_i100000_ABC,0,50000,400000,100000,ABC
coresim_m0_n50000_e400000_i200000_CAB,0,0,0,0,0,0,20,0,0,0,0,0,0,5.956739798,0,0,0,0,0,0,2.550659975,0,0,0,0,0,0,2.494284882,0,0,0,0,0,0,1.909149115,5.956739798,2.550659975,2.494284882,1.909149115,coresim_m0_n50000_e400000_i200000_CAB,0,50000,400000,200000,CAB
coresim_m0_n50000_e400000_i200000_ACB,0,20,0,0,0,0,0,0,6.284192472,0,0,0,0,0,0,2.298720148,0,0,0,0,0,0,3.350588373,0,0,0,0,0,0,2.012559735,0,0,0,0,0,6.284192472,2.298720148,3.350588373,2.012559735,coresim_m0_n50000_e400000_i200000_ACB,0,50000,400000,200000,ACB
coresim_m0_n50000_e400000_i200000_ABC,0,0,0,20,0,0,0,0,0,0,6.633283006,0,0,0,0,0,0,1.853620953,0,0,0,0,0,0,3.550401426,0,0,0,0,0,0,2.73106255,0,0,0,6.633283006,1.853620953,3.550401426,2.73106255,coresim_m0_n50000_e400000_i200000_ABC,0,50000,400000,200000,ABC
coresim_m0_n100000_e200000_i50000_CAB,0,0,16,0,0,0,4,0,0,3.115835729,0,0,0,0.780174605,0,0,1.489626499,0,0,0,0.372528776,0,0,1.482447927,0,0,0,0.374774446,0,0,1.389470604,0,0,0,0.350464452,3.896010335,1.862155275,1.857222372,1.739935056,coresim_m0_n100000_e200000_i50000_CAB,0,100000,200000,50000,CAB
coresim_m0_n100000_e200000_i50000_ACB,0,20,0,0,0,0,0,0,4.01425171,0,0,0,0,0,0,1.864972837,0,0,0,0,0,0,1.998698428,0,0,0,0,0,0,1.793349226,0,0,0,0,0,4.01425171,1.864972837,1.998698428,1.793349226,coresim_m0_n100000_e200000_i50000_ACB,0,100000,200000,50000,ACB
coresim_m0_n100000_e200000_i50000_ABC,0,0,0,20,0,0,0,0,0,0,4.114633423,0,0,0,0,0,0,1.788534063,0,0,0,0,0,0,2.041922544,0,0,0,0,0,0,1.9674029,0,0,0,4.114633423,1.788534063,2.041922544,1.9674029,coresim_m0_n100000_e200000_i50000_ABC,0,100000,200000,50000,ABC
coresim_m0_n100000_e200000_i100000_CAB,0,0,15,0,0,0,5,0,0,3.351139433,0,0,0,1.114563635,0,0,1.527802659,0,0,0,0.509614922,0,0,1.513026312,0,0,0,0.506073386,0,0,1.3167133,0,0,0,0.437644186,4.465703068,2.037417581,2.019099698,1.754357486,coresim_m0_n100000_e200000_i100000_CAB,0,100000,200000,100000,CAB
coresim_m0_n100000_e200000_i100000_ACB,0,20,0,0,0,0,0,0,4.686047648,0,0,0,0,0,0,1.989277029,0,0,0,0,0,0,2.339028593,0,0,0,0,0,0,1.822236572,0,0,0,0,0,4.686047648,1.989277029,2.339028593,1.822236572,coresim_m0_n100000_e200000_i100000_ACB,0,100000,200000,100000,ACB
coresim_m0_n100000_e200000_i100000_ABC,0,0,0,20,0,0,0,0,0,0,4.876549323,0,0,0,0,0,0,1.784569433,0,0,0,0,0,0,2.430626447,0,0,0,0,0,0,2.19215608,0,0,0,4.876549323,1.784569433,2.430626447,2.19215608,coresim_m0_n100000_e200000_i100000_ABC,0,100000,200000,100000,ABC
coresim_m0_n100000_e200000_i200000_CAB,0,0,20,0,0,0,0,0,0,5.162903502,0,0,0,0,0,0,2.19041344,0,0,0,0,0,0,2.155230832,0,0,0,0,0,0,1.646401747,0,0,0,0,5.162903502,2.19041344,2.155230832,1.646401747,coresim_m0_n100000_e200000_i200000_CAB,0,100000,200000,200000,CAB
coresim_m0_n100000_e200000_i200000_ACB,0,20,0,0,0,0,0,0,5.469094478,0,0,0,0,0,0,2.02597775,0,0,0,0,0,0,2.800426636,0,0,0,0,0,0,1.737339633,0,0,0,0,0,5.469094478,2.02597775,2.800426636,1.737339633,coresim_m0_n100000_e200000_i200000_ACB,0,100000,200000,200000,ACB
coresim_m0_n100000_e200000_i200000_ABC,0,0,0,20,0,0,0,0,0,0,5.792805949,0,0,0,0,0,0,1.620866567,0,0,0,0,0,0,2.97428627,0,0,0,0,0,0,2.413021636,0,0,0,5.792805949,1.620866567,2.97428627,2.413021636,coresim_m0_n100000_e200000_i200000_ABC,0,100000,200000,200000,ABC
coresim_m0_n100000_e400000_i50000_CAB,0,0,19,0,0,0,1,0,0,4.100406803,0,0,0,0.217081402,0,0,1.99495681,0,0,0,0.104546263,0,0,1.99482423,0,0,0,0.106355396,0,0,1.912301772,0,0,0,0.100320709,4.317488205,2.099503072,2.101179626,2.012622481,coresim_m0_n100000_e400000_i50000_CAB,0,100000,400000,50000,CAB
coresim_m0_n100000_e400000_i50000_ACB,0,0,0,0,0,0,20,0,0,0,0,0,0,4.388206233,0,0,0,0,0,0,2.098025765,0,0,0,0,0,0,2.217017263,0,0,0,0,0,0,2.042155358,4.388206233,2.098025765,2.217017263,2.042155358,coresim_m0_n100000_e400000_i50000_ACB,0,100000,400000,50000,ACB
coresim_m0_n100000_e400000_i50000_ABC,0,0,0,20,0,0,0,0,0,0,4.453423014,0,0,0,0,0,0,2.034353275,0,0,0,0,0,0,2.248980059,0,0,0,0,0,0,2.164044317,0,0,0,4.453423014,2.034353275,2.248980059,2.164044317,coresim_m0_n100000_e400000_i50000_ABC,0,100000,400000,50000,ABC
coresim_m0_n100000_e400000_i100000_CAB,0,0,20,0,0,0,0,0,0,4.750643757,0,0,0,0,0,0,2.223819965,0,0,0,0,0,0,2.221942422,0,0,0,0,0,0,1.99336085,0,0,0,0,4.750643757,2.223819965,2.221942422,1.99336085,coresim_m0_n100000_e400000_i100000_CAB,0,100000,400000,100000,CAB
coresim_m0_n100000_e400000_i100000_ACB,0,20,0,0,0,0,0,0,4.890728002,0,0,0,0,0,0,2.179446283,0,0,0,0,0,0,2.485955569,0,0,0,0,0,0,2.051283209,0,0,0,0,0,4.890728002,2.179446283,2.485955569,2.051283209,coresim_m0_n100000_e400000_i100000_ACB,0,100000,400000,100000,ACB
coresim_m0_n100000_e400000_i100000_ABC,0,0,0,20,0,0,0,0,0,0,5.016728925,0,0,0,0,0,0,2.006767731,0,0,0,0,0,0,2.546949196,0,0,0,0,0,0,2.341876668,0,0,0,5.016728925,2.006767731,2.546949196,2.341876668,coresim_m0_n100000_e400000_i100000_ABC,0,100000,400000,100000,ABC
coresim_m0_n100000_e400000_i200000_CAB,0,0,7,0,0,0,13,0,0,1.867915433,0,0,0,3.466884034,0,0,0.819479756,0,0,0,1.521632001,0,0,0.811027715,0,0,0,1.500937614,0,0,0.651999293,0,0,0,1.211477131,5.334799467,2.341111756,2.311965329,1.863476424,coresim_m0_n100000_e400000_i200000_CAB,0,100000,400000,200000,CAB
coresim_m0_n100000_e400000_i200000_ACB,0,20,0,0,0,0,0,0,5.574568955,0,0,0,0,0,0,2.19465974,0,0,0,0,0,0,2.88250853,0,0,0,0,0,0,1.949632244,0,0,0,0,0,5.574568955,2.19465974,2.88250853,1.949632244,coresim_m0_n100000_e400000_i200000_ACB,0,100000,400000,200000,ACB
coresim_m0_n100000_e400000_i200000_ABC,0,0,0,20,0,0,0,0,0,0,5.806574169,0,0,0,0,0,0,1.837995417,0,0,0,0,0,0,3.022205533,0,0,0,0,0,0,2.51831888,0,0,0,5.806574169,1.837995417,3.022205533,2.51831888,coresim_m0_n100000_e400000_i200000_ABC,0,100000,400000,200000,ABC
coresim_m0.1_n50000_e200000_i50000_CAB,0,0,20,0,0,0,0,0,0,5.169187104,0,0,0,0,0,0,2.129765561,0,0,0,0,0,0,2.40262728,0,0,0,0,0,0,2.28582526,0,0,0,0,5.169187104,2.129765561,2.40262728,2.28582526,coresim_m0.1_n50000_e200000_i50000_CAB,1,50000,200000,50000,CAB
coresim_m0.1_n50000_e200000_i50000_ACB,0,20,0,0,0,0,0,0,5.194262785,0,0,0,0,0,0,2.01108889,0,0,0,0,0,0,2.54146873,0,0,0,0,0,0,2.200781602,0,0,0,0,0,5.194262785,2.01108889,2.54146873,2.200781602,coresim_m0.1_n50000_e200000_i50000_ACB,1,50000,200000,50000,ACB
coresim_m0.1_n50000_e200000_i50000_ABC,0,0,0,20,0,0,0,0,0,0,5.304270437,0,0,0,0,0,0,1.881190229,0,0,0,0,0,0,2.588948623,0,0,0,0,0,0,2.358315231,0,0,0,5.304270437,1.881190229,2.588948623,2.358315231,coresim_m0.1_n50000_e200000_i50000_ABC,1,50000,200000,50000,ABC
coresim_m0.1_n50000_e200000_i100000_CAB,0,0,20,0,0,0,0,0,0,5.872063233,0,0,0,0,0,0,2.18504394,0,0,0,0,0,0,2.696325441,0,0,0,0,0,0,2.428167324,0,0,0,0,5.872063233,2.18504394,2.696325441,2.428167324,coresim_m0.1_n50000_e200000_i100000_CAB,1,50000,200000,100000,CAB
coresim_m0.1_n50000_e200000_i100000_ACB,0,20,0,0,0,0,0,0,6.038990895,0,0,0,0,0,0,1.979876603,0,0,0,0,0,0,2.973553977,0,0,0,0,0,0,2.208102427,0,0,0,0,0,6.038990895,1.979876603,2.973553977,2.208102427,coresim_m0.1_n50000_e200000_i100000_ACB,1,50000,200000,100000,ACB
coresim_m0.1_n50000_e200000_i100000_ABC,0,0,0,20,0,0,0,0,0,0,6.124135563,0,0,0,0,0,0,1.721795107,0,0,0,0,0,0,3.051813771,0,0,0,0,0,0,2.539576251,0,0,0,6.124135563,1.721795107,3.051813771,2.539576251,coresim_m0.1_n50000_e200000_i100000_ABC,1,50000,200000,100000,ABC
coresim_m0.1_n50000_e200000_i200000_CAB,0,0,10,0,0,0,10,0,0,3.256577233,0,0,0,3.283893174,0,0,1.068074313,0,0,0,1.121380026,0,0,1.566804838,0,0,0,1.563913565,0,0,1.305936921,0,0,0,1.310970385,6.540470406,2.189454339,3.130718403,2.616907306,coresim_m0.1_n50000_e200000_i200000_CAB,1,50000,200000,200000,CAB
coresim_m0.1_n50000_e200000_i200000_ACB,0,20,0,0,0,0,0,0,7.095462813,0,0,0,0,0,0,1.891125848,0,0,0,0,0,0,3.55979727,0,0,0,0,0,0,2.216517241,0,0,0,0,0,7.095462813,1.891125848,3.55979727,2.216517241,coresim_m0.1_n50000_e200000_i200000_ACB,1,50000,200000,200000,ACB
coresim_m0.1_n50000_e200000_i200000_ABC,0,0,0,20,0,0,0,0,0,0,7.158159265,0,0,0,0,0,0,1.48023604,0,0,0,0,0,0,3.688842717,0,0,0,0,0,0,2.701831387,0,0,0,7.158159265,1.48023604,3.688842717,2.701831387,coresim_m0.1_n50000_e200000_i200000_ABC,1,50000,200000,200000,ABC
coresim_m0.1_n50000_e400000_i50000_CAB,0,0,0,20,0,0,0,0,0,0,5.847476488,0,0,0,0,0,0,2.188473663,0,0,0,0,0,0,2.766537734,0,0,0,0,0,0,2.69551825,0,0,0,5.847476488,2.188473663,2.766537734,2.69551825,coresim_m0.1_n50000_e400000_i50000_CAB,1,50000,400000,50000,CAB
coresim_m0.1_n50000_e400000_i50000_ACB,0,0,0,20,0,0,0,0,0,0,5.939783581,0,0,0,0,0,0,2.137986385,0,0,0,0,0,0,2.892023239,0,0,0,0,0,0,2.592731974,0,0,0,5.939783581,2.137986385,2.892023239,2.592731974,coresim_m0.1_n50000_e400000_i50000_ACB,1,50000,400000,50000,ACB
coresim_m0.1_n50000_e400000_i50000_ABC,0,0,0,20,0,0,0,0,0,0,5.924159905,0,0,0,0,0,0,2.005755847,0,0,0,0,0,0,2.908239106,0,0,0,0,0,0,2.682723949,0,0,0,5.924159905,2.005755847,2.908239106,2.682723949,coresim_m0.1_n50000_e400000_i50000_ABC,1,50000,400000,50000,ABC
coresim_m0.1_n50000_e400000_i100000_CAB,0,0,0,20,0,0,0,0,0,0,6.356307406,0,0,0,0,0,0,2.191359251,0,0,0,0,0,0,3.014098427,0,0,0,0,0,0,2.859630651,0,0,0,6.356307406,2.191359251,3.014098427,2.859630651,coresim_m0.1_n50000_e400000_i100000_CAB,1,50000,400000,100000,CAB
coresim_m0.1_n50000_e400000_i100000_ACB,0,0,0,20,0,0,0,0,0,0,6.622268705,0,0,0,0,0,0,2.070399387,0,0,0,0,0,0,3.246702771,0,0,0,0,0,0,2.604411492,0,0,0,6.622268705,2.070399387,3.246702771,2.604411492,coresim_m0.1_n50000_e400000_i100000_ACB,1,50000,400000,100000,ACB
coresim_m0.1_n50000_e400000_i100000_ABC,0,0,0,20,0,0,0,0,0,0,6.56384553,0,0,0,0,0,0,1.884703854,0,0,0,0,0,0,3.276233836,0,0,0,0,0,0,2.804628116,0,0,0,6.56384553,1.884703854,3.276233836,2.804628116,coresim_m0.1_n50000_e400000_i100000_ABC,1,50000,400000,100000,ABC
coresim_m0.1_n50000_e400000_i200000_CAB,0,0,0,20,0,0,0,0,0,0,7.042152234,0,0,0,0,0,0,2.106935207,0,0,0,0,0,0,3.386158152,0,0,0,0,0,0,3.05496977,0,0,0,7.042152234,2.106935207,3.386158152,3.05496977,coresim_m0.1_n50000_e400000_i200000_CAB,1,50000,400000,200000,CAB
coresim_m0.1_n50000_e400000_i200000_ACB,0,0,0,20,0,0,0,0,0,0,7.487026249,0,0,0,0,0,0,1.906490612,0,0,0,0,0,0,3.743864822,0,0,0,0,0,0,2.570775431,0,0,0,7.487026249,1.906490612,3.743864822,2.570775431,coresim_m0.1_n50000_e400000_i200000_ACB,1,50000,400000,200000,ACB
coresim_m0.1_n50000_e400000_i200000_ABC,0,0,0,20,0,0,0,0,0,0,7.391756369,0,0,0,0,0,0,1.602305047,0,0,0,0,0,0,3.802950905,0,0,0,0,0,0,2.920897032,0,0,0,7.391756369,1.602305047,3.802950905,2.920897032,coresim_m0.1_n50000_e400000_i200000_ABC,1,50000,400000,200000,ABC
coresim_m0.1_n100000_e200000_i50000_CAB,0,0,20,0,0,0,0,0,0,3.966063489,0,0,0,0,0,0,1.862711573,0,0,0,0,0,0,1.939244214,0,0,0,0,0,0,1.820978675,0,0,0,0,3.966063489,1.862711573,1.939244214,1.820978675,coresim_m0.1_n100000_e200000_i50000_CAB,1,100000,200000,50000,CAB
coresim_m0.1_n100000_e200000_i50000_ACB,0,20,0,0,0,0,0,0,4.072402674,0,0,0,0,0,0,1.823125797,0,0,0,0,0,0,2.018384482,0,0,0,0,0,0,1.878654642,0,0,0,0,0,4.072402674,1.823125797,2.018384482,1.878654642,coresim_m0.1_n100000_e200000_i50000_ACB,1,100000,200000,50000,ACB
coresim_m0.1_n100000_e200000_i50000_ABC,0,0,0,20,0,0,0,0,0,0,4.157209958,0,0,0,0,0,0,1.749628224,0,0,0,0,0,0,2.056507033,0,0,0,0,0,0,1.981963885,0,0,0,4.157209958,1.749628224,2.056507033,1.981963885,coresim_m0.1_n100000_e200000_i50000_ABC,1,100000,200000,50000,ABC
coresim_m0.1_n100000_e200000_i100000_CAB,0,0,20,0,0,0,0,0,0,4.67033639,0,0,0,0,0,0,2.063128148,0,0,0,0,0,0,2.202112741,0,0,0,0,0,0,1.92916291,0,0,0,0,4.67033639,2.063128148,2.202112741,1.92916291,coresim_m0.1_n100000_e200000_i100000_CAB,1,100000,200000,100000,CAB
coresim_m0.1_n100000_e200000_i100000_ACB,0,20,0,0,0,0,0,0,4.842336828,0,0,0,0,0,0,1.948813411,0,0,0,0,0,0,2.373982434,0,0,0,0,0,0,1.982393573,0,0,0,0,0,4.842336828,1.948813411,2.373982434,1.982393573,coresim_m0.1_n100000_e200000_i100000_ACB,1,100000,200000,100000,ACB
coresim_m0.1_n100000_e200000_i100000_ABC,0,0,0,20,0,0,0,0,0,0,5.025407298,0,0,0,0,0,0,1.776161869,0,0,0,0,0,0,2.452260275,0,0,0,0,0,0,2.214854124,0,0,0,5.025407298,1.776161869,2.452260275,2.214854124,coresim_m0.1_n100000_e200000_i100000_ABC,1,100000,200000,100000,ABC
coresim_m0.1_n100000_e200000_i200000_CAB,0,0,20,0,0,0,0,0,0,5.583823966,0,0,0,0,0,0,2.22888652,0,0,0,0,0,0,2.551295029,0,0,0,0,0,0,2.055241388,0,0,0,0,5.583823966,2.22888652,2.551295029,2.055241388,coresim_m0.1_n100000_e200000_i200000_CAB,1,100000,200000,200000,CAB
coresim_m0.1_n100000_e200000_i200000_ACB,0,20,0,0,0,0,0,0,5.863601161,0,0,0,0,0,0,1.968106327,0,0,0,0,0,0,2.875840247,0,0,0,0,0,0,1.999959785,0,0,0,0,0,5.863601161,1.968106327,2.875840247,1.999959785,coresim_m0.1_n100000_e200000_i200000_ACB,1,100000,200000,200000,ACB
coresim_m0.1_n100000_e200000_i200000_ABC,0,0,0,20,0,0,0,0,0,0,6.032780382,0,0,0,0,0,0,1.613822454,0,0,0,0,0,0,3.015428996,0,0,0,0,0,0,2.43988734,0,0,0,6.032780382,1.613822454,3.015428996,2.43988734,coresim_m0.1_n100000_e200000_i200000_ABC,1,100000,200000,200000,ABC
